timestamp,epoch,client_id,rank1,mAP
2025-07-30 11:08:01,1,0,0.44999998807907104,0.32729630777925717
2025-07-30 11:08:10,1,1,0.30000001192092896,0.22823166611360463
2025-07-30 11:08:18,1,2,0.4166666567325592,0.3057378042603677
2025-07-30 11:08:27,1,3,0.4333333373069763,0.33967215090947633
2025-07-30 11:08:35,1,4,0.5333333611488342,0.3433419914563672
2025-07-30 11:29:26,5,0,0.5166666507720947,0.3947783677471634
2025-07-30 11:29:35,5,1,0.44999998807907104,0.3092139414404857
2025-07-30 11:29:43,5,2,0.5666666626930237,0.3765349502147847
2025-07-30 11:29:51,5,3,0.5,0.3902037163137956
2025-07-30 11:30:00,5,4,0.550000011920929,0.36763269648652747
2025-07-30 11:56:06,10,0,0.5333333611488342,0.4241971505051089
2025-07-30 11:56:14,10,1,0.5,0.3535048325267963
2025-07-30 11:56:22,10,2,0.5,0.37274913832107054
2025-07-30 11:56:31,10,3,0.5333333611488342,0.41235258919738454
2025-07-30 11:56:39,10,4,0.5333333611488342,0.3833370675604667
2025-07-30 12:22:47,15,0,0.5666666626930237,0.4590742164636058
2025-07-30 12:22:55,15,1,0.46666666865348816,0.37124793615548796
2025-07-30 12:23:04,15,2,0.5833333134651184,0.41837579963303734
2025-07-30 12:23:13,15,3,0.6166666746139526,0.45612022687158343
2025-07-30 12:23:21,15,4,0.5666666626930237,0.4071389105013247
2025-07-30 12:49:23,20,0,0.5666666626930237,0.4686749827542501
2025-07-30 12:49:32,20,1,0.4833333194255829,0.38448115023034457
2025-07-30 12:49:40,20,2,0.5333333611488342,0.4161016985763185
2025-07-30 12:49:48,20,3,0.6166666746139526,0.48396377848132793
2025-07-30 12:49:57,20,4,0.5833333134651184,0.43350087810300136
2025-07-30 13:16:14,25,0,0.5666666626930237,0.4755760699297598
2025-07-30 13:16:22,25,1,0.5833333134651184,0.415949178394289
2025-07-30 13:16:30,25,2,0.5833333134651184,0.42160810383850245
2025-07-30 13:16:39,25,3,0.6333333253860474,0.495092271240047
2025-07-30 13:16:47,25,4,0.6000000238418579,0.4400756770991603
2025-07-30 13:42:55,30,0,0.6333333253860474,0.5071536243184823
2025-07-30 13:43:04,30,1,0.550000011920929,0.40946190400371457
2025-07-30 13:43:12,30,2,0.6166666746139526,0.4280389195416396
2025-07-30 13:43:21,30,3,0.699999988079071,0.5209112072048396
2025-07-30 13:43:29,30,4,0.6000000238418579,0.4487421057157661
2025-07-30 14:09:42,35,0,0.6833333373069763,0.5200873991566889
2025-07-30 14:09:50,35,1,0.550000011920929,0.4078689778503933
2025-07-30 14:09:58,35,2,0.5833333134651184,0.43189579280602797
2025-07-30 14:10:07,35,3,0.7333333492279053,0.5472731905080802
2025-07-30 14:10:16,35,4,0.6166666746139526,0.4551777417698604
2025-07-30 14:36:25,40,0,0.6833333373069763,0.5247808989398408
2025-07-30 14:36:34,40,1,0.550000011920929,0.42001172661052827
2025-07-30 14:36:42,40,2,0.6000000238418579,0.4310021372104883
2025-07-30 14:36:50,40,3,0.6499999761581421,0.5244214874388962
2025-07-30 14:36:59,40,4,0.6166666746139526,0.4526053915104369
2025-07-30 15:03:11,45,0,0.6499999761581421,0.5240370467922729
2025-07-30 15:03:19,45,1,0.550000011920929,0.4249889210417912
2025-07-30 15:03:28,45,2,0.6000000238418579,0.43406433533891337
2025-07-30 15:03:36,45,3,0.7166666388511658,0.5451938156497391
2025-07-30 15:03:45,45,4,0.6000000238418579,0.4556547936091805
2025-07-30 15:29:58,50,0,0.6666666865348816,0.5327731201233636
2025-07-30 15:30:07,50,1,0.5166666507720947,0.4133581680693789
2025-07-30 15:30:15,50,2,0.5666666626930237,0.42696508660862076
2025-07-30 15:30:24,50,3,0.7166666388511658,0.5449884854341227
2025-07-30 15:30:32,50,4,0.6166666746139526,0.46220712271665004
2025-07-30 15:56:45,55,0,0.6833333373069763,0.5335350129463
2025-07-30 15:56:53,55,1,0.5,0.4113391597017967
2025-07-30 15:57:02,55,2,0.6000000238418579,0.42604475852125706
2025-07-30 15:57:11,55,3,0.699999988079071,0.5381642424840226
2025-07-30 15:57:19,55,4,0.6166666746139526,0.46007715367957347
2025-07-30 16:23:31,60,0,0.699999988079071,0.5388974851423611
2025-07-30 16:23:40,60,1,0.550000011920929,0.4262692072418783
2025-07-30 16:23:48,60,2,0.6166666746139526,0.42882064251651375
2025-07-30 16:24:00,60,3,0.699999988079071,0.5417445726301149
2025-07-30 16:24:09,60,4,0.6000000238418579,0.45646667632177185
2025-07-30 16:50:17,65,0,0.6833333373069763,0.5261621061052221
2025-07-30 16:50:25,65,1,0.5333333611488342,0.42137402656004863
2025-07-30 16:50:33,65,2,0.6000000238418579,0.4307268987505246
2025-07-30 16:50:42,65,3,0.6833333373069763,0.546613503776905
2025-07-30 16:50:50,65,4,0.6000000238418579,0.45476767052070965
2025-07-30 17:17:04,70,0,0.6833333373069763,0.5335193982737156
2025-07-30 17:17:13,70,1,0.550000011920929,0.4323637178437107
2025-07-30 17:17:21,70,2,0.5833333134651184,0.4379980859024964
2025-07-30 17:17:30,70,3,0.7166666388511658,0.5556184288064382
2025-07-30 17:17:38,70,4,0.6166666746139526,0.4530751889798537
2025-07-30 17:43:57,75,0,0.6666666865348816,0.5242238262880593
2025-07-30 17:44:07,75,1,0.5333333611488342,0.4302976207668026
2025-07-30 17:44:15,75,2,0.6166666746139526,0.4467823340832808
2025-07-30 17:44:24,75,3,0.699999988079071,0.5473147324996658
2025-07-30 17:44:32,75,4,0.6000000238418579,0.4560857441667295
2025-07-30 18:10:39,80,0,0.6833333373069763,0.5295762658112388
2025-07-30 18:10:47,80,1,0.5166666507720947,0.42550874625373053
2025-07-30 18:10:55,80,2,0.6000000238418579,0.439992513109063
2025-07-30 18:11:05,80,3,0.699999988079071,0.5450854518716447
2025-07-30 18:11:13,80,4,0.6166666746139526,0.4556163430524239
2025-07-30 18:37:25,85,0,0.6833333373069763,0.5348301364479285
2025-07-30 18:37:34,85,1,0.5666666626930237,0.431316692041441
2025-07-30 18:37:42,85,2,0.6166666746139526,0.44667485662859746
2025-07-30 18:37:51,85,3,0.699999988079071,0.5450305602245129
2025-07-30 18:37:59,85,4,0.6166666746139526,0.45680149557485816
2025-07-30 19:04:09,90,0,0.6499999761581421,0.5294662642320794
2025-07-30 19:04:18,90,1,0.46666666865348816,0.42051749357658735
2025-07-30 19:04:26,90,2,0.5833333134651184,0.44942548153339795
2025-07-30 19:04:35,90,3,0.699999988079071,0.5472521368644434
2025-07-30 19:04:43,90,4,0.6166666746139526,0.4587318599554942
2025-07-30 19:30:54,95,0,0.699999988079071,0.5342974482144941
2025-07-30 19:31:02,95,1,0.550000011920929,0.4275984727012793
2025-07-30 19:31:11,95,2,0.6166666746139526,0.44699326645408216
2025-07-30 19:31:20,95,3,0.699999988079071,0.5443938678686866
2025-07-30 19:31:28,95,4,0.6000000238418579,0.4596944871121839
2025-07-30 19:57:42,100,0,0.6499999761581421,0.5234408047729435
2025-07-30 19:57:50,100,1,0.5,0.420620935809647
2025-07-30 19:57:58,100,2,0.6166666746139526,0.4308944849742418
2025-07-30 19:58:07,100,3,0.699999988079071,0.5447696127784393
2025-07-30 19:58:16,100,4,0.6000000238418579,0.458348108719707
